"Instituto Nacional de Estadística y Geografía",
"Consulta en línea de los precios promedio del INPC ",
"Publicados en el diario oficial de la Federación mensualmente ",
"Fecha de consulta: 14/03/2023 13:01:46",

"Año","Mes","Fecha_Pub_DOF","Clave ciudad","Nombre ciudad","División","Grupo","Clase","Subclase","Clave genérico","Genérico","Consecutivo","Especificación","Precio promedio","Cantidad","Unidad","Estatus"
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","03 Galletas, pastas y harinas de trigo","004","Galletas","005","GAMESA, SALADAS, CRACKETS, CAJA C/6 ROLLOS DE 417.60 GR     ","85.12","1","KG    ",""
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","03 Galletas, pastas y harinas de trigo","004","Galletas","006","GAMESA, SALADAS, BIZCOCHITOS, BOLSA DE 135 GR               ","88.89","1","KG    ",""
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","03 Galletas, pastas y harinas de trigo","004","Galletas","007","GAMESA, SALADAS, SALADITAS, PAQ DE 186 GR                   ","99.46","1","KG    ",""
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","03 Galletas, pastas y harinas de trigo","004","Galletas","008","GAMESA, SALADAS, CRACKETS, CAJA DE 400 GR                   ","67.25","1","KG    ",""
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","03 Galletas, pastas y harinas de trigo","004","Galletas","009","GAMESA, SALADAS, SALADITAS, CAJA DE 240 GR                  ","141.67","1","KG    ",""
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","03 Galletas, pastas y harinas de trigo","004","Galletas","010","CUETARA, SALADAS, BOLSA 175 GR                              ","69.11","1","KG    ",""
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","03 Galletas, pastas y harinas de trigo","004","Galletas","011","GAMESA, SALADAS, SALADITAS, PAQ DE 186 GR                   ","88.71","1","KG    ",""
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","03 Galletas, pastas y harinas de trigo","004","Galletas","012","NABISCO, SALADAS, RITZ, CLASICAS, 18 ROLLOS, DE 1602 GR     ","136.7","1","KG    ",""
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","03 Galletas, pastas y harinas de trigo","004","Galletas","013","GAMESA, SALADAS, SALADITAS, CAJA DE 504 GR                  ","93.45","1","KG    ",""
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","03 Galletas, pastas y harinas de trigo","004","Galletas","014","GAMESA, SALADAS, SALADITAS, PAQ DE 186 GR                   ","80.64","1","KG    ",""
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","03 Galletas, pastas y harinas de trigo","004","Galletas","015","GAMESA, SALADAS, SALADITAS, CAJA DE 504 GR                  ","96.23","1","KG    ",""
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","03 Galletas, pastas y harinas de trigo","004","Galletas","016","GAMESA, SALADAS, SALADITAS, PAQ DE 186 GR                   ","76.61","1","KG    ",""
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","03 Galletas, pastas y harinas de trigo","004","Galletas","017","GAMESA, SALADAS, SALADITAS, PAQ DE 186 GR                   ","86.02","1","KG    ",""
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","03 Galletas, pastas y harinas de trigo","004","Galletas","018","GAMESA, SALADAS, SALADITAS, PAQ DE 137 GR                   ","102.19","1","KG    ",""
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","03 Galletas, pastas y harinas de trigo","004","Galletas","019","GAMESA, SALADAS, SALADITAS, PAQ DE 186 GR                   ","80.64","1","KG    ",""
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","03 Galletas, pastas y harinas de trigo","004","Galletas","020","GAMESA, SALADAS, BIZCOCHITOS, PAQ DE 150 GR                 ","62","1","KG    ",""
