cat,title,date,week,url,Periodo
Nuevo León,Ovidio Guzmán López EN VIVO: Últimas noticias; todos los detalles ...,Jan 5,1,https://news.google.com/articles/CBMilwFodHRwczovL3d3dy5pbmZvcm1hZG9yLm14L092aWRpby1HdXptYW4tTG9wZXotRU4tVklWTy1VbHRpbWFzLW5vdGljaWFzLXRvZG9zLWxvcy1kZXRhbGxlcy1zb2JyZS1sYS1jYXB0dXJhLWRlbC1oaWpvLWRlbC1DaGFwby1HdXptYW4tdDIwMjMwMTA1MDAwMi5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen,02 de Enero del 2023 al 08 de Enero  del 2023
Nuevo León,Moneda digital de Banxico se encuentra en fase inicial,Jan 2,1,https://news.google.com/articles/CBMibWh0dHBzOi8vd3d3LmVsc29sZGVtZXhpY28uY29tLm14L2ZpbmFuemFzL21vbmVkYS1kaWdpdGFsLWRlLWJhbnhpY28tc2UtZW5jdWVudHJhLWVuLWZhc2UtaW5pY2lhbC05NDA4Njk5Lmh0bWzSAW1odHRwczovL3d3dy5lbHNvbGRlbWV4aWNvLmNvbS5teC9maW5hbnphcy9tb25lZGEtZGlnaXRhbC1kZS1iYW54aWNvLXNlLWVuY3VlbnRyYS1lbi1mYXNlLWluaWNpYWwtOTQwODY5OS5odG1s?hl=en-US&gl=US&ceid=US%3Aen,02 de Enero del 2023 al 08 de Enero  del 2023
Nuevo León,Presentan 'Arti': la nueva asistente virtual del Municipio de Arteaga,Jan 2,1,https://news.google.com/articles/CBMib2h0dHBzOi8vdmFuZ3VhcmRpYS5jb20ubXgvY29haHVpbGEvcHJlc2VudGFuLWFydGktbGEtbnVldmEtYXNpc3RlbnRlLXZpcnR1YWwtZGVsLW11bmljaXBpby1kZS1hcnRlYWdhLUFZNTg4MTEzMNIBAA?hl=en-US&gl=US&ceid=US%3Aen,02 de Enero del 2023 al 08 de Enero  del 2023
Nuevo León,"Aeroméxico, Volaris y Viva Aerobus cancelan vuelos a municipios de Sinaloa tras captura de Ovidio Guzmán",Jan 5,1,https://news.google.com/articles/CBMiYmh0dHBzOi8vd3d3Lm1pbGVuaW8uY29tL25lZ29jaW9zL2Flcm9tZXhpY28tY2FuY2VsYS12dWVsb3MtYS1zaW5hbG9hLXRyYXMtY2FwdHVyYS1kZS1vdmlkaW8tZ3V6bWFu0gFiaHR0cHM6Ly9hbXAubWlsZW5pby5jb20vbmVnb2Npb3MvYWVyb21leGljby1jYW5jZWxhLXZ1ZWxvcy1hLXNpbmFsb2EtdHJhcy1jYXB0dXJhLWRlLW92aWRpby1ndXptYW4?hl=en-US&gl=US&ceid=US%3Aen,02 de Enero del 2023 al 08 de Enero  del 2023
Nuevo León,"Muere de un infarto Bryan Ruiz , futbolista del Aragua FC",Jan 3,1,https://news.google.com/articles/CBMiS2h0dHBzOi8vYWxuYXZpby5lcy9tdWVyZS1kZS11bi1pbmZhcnRvLWJyeWFuLXJ1aXotZnV0Ym9saXN0YS1kZWwtYXJhZ3VhLWZjL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,02 de Enero del 2023 al 08 de Enero  del 2023
Nuevo León,Norma Piña fue elegida nueva ministra presidenta de la Corte; es la primera mujer en ocupar el cargo,Jan 2,1,https://news.google.com/articles/CBMiVWh0dHBzOi8vd3d3Lm1pbGVuaW8uY29tL3BvbGljaWEvbm9ybWEtcGluYS1lcy1sYS1udWV2YS1wcmVzaWRlbnRlLWRlLWxhLXN1cHJlbWEtY29ydGXSAVVodHRwczovL2FtcC5taWxlbmlvLmNvbS9wb2xpY2lhL25vcm1hLXBpbmEtZXMtbGEtbnVldmEtcHJlc2lkZW50ZS1kZS1sYS1zdXByZW1hLWNvcnRl?hl=en-US&gl=US&ceid=US%3Aen,02 de Enero del 2023 al 08 de Enero  del 2023
Nuevo León,WhatsApp: cómo saber si tenés multas desde la app,Jan 6,1,https://news.google.com/articles/CBMiWWh0dHBzOi8vbGExMDAuY2llbnJhZGlvcy5jb20vYWN0dWFsaWRhZC93aGF0c2FwcC1jb21vLXNhYmVyLXNpLXRlbmVzLW11bHRhcy1kZXNkZS1sYS1hcHAv0gFoaHR0cHM6Ly9sYTEwMC5jaWVucmFkaW9zLmNvbS9hY3R1YWxpZGFkL3doYXRzYXBwLWNvbW8tc2FiZXItc2ktdGVuZXMtbXVsdGFzLWRlc2RlLWxhLWFwcC8_b3V0cHV0VHlwZT1hbXA?hl=en-US&gl=US&ceid=US%3Aen,02 de Enero del 2023 al 08 de Enero  del 2023
Nuevo León,Le estaba pidiendo matrimonio a su novia y una turista les arruinó el ...,Jan 5,1,https://news.google.com/articles/CBMigwFodHRwczovL2xhMTAwLmNpZW5yYWRpb3MuY29tL3ZpcmFsZXMvbGUtZXN0YWJhLXBpZGllbmRvLW1hdHJpbW9uaW8tYS1zdS1ub3ZpYS15LXVuYS10dXJpc3RhLWxlcy1hcnJ1aW5vLWVsLW1vbWVudG8tZnVlLWEtcHJvcG9zaXRvL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,02 de Enero del 2023 al 08 de Enero  del 2023
Nuevo León,Salió a la luz la picante chicana del Dibu Martínez a un jugador francés en la final del Mundial Qatar 2022: “¿El del pasito?”,Jan 5,1,https://news.google.com/articles/CBMioAFodHRwczovL2xhMTAwLmNpZW5yYWRpb3MuY29tL2RlcG9ydGVzL3NhbGlvLWEtbGEtbHV6LWxhLXBpY2FudGUtY2hpY2FuYS1kZWwtZGlidS1tYXJ0aW5lei1hLXVuLWp1Z2Fkb3ItZnJhbmNlcy1lbi1sYS1maW5hbC1kZWwtbXVuZGlhbC1xYXRhci0yMDIyLWVsLWRlbC1wYXNpdG8v0gGvAWh0dHBzOi8vbGExMDAuY2llbnJhZGlvcy5jb20vZGVwb3J0ZXMvc2FsaW8tYS1sYS1sdXotbGEtcGljYW50ZS1jaGljYW5hLWRlbC1kaWJ1LW1hcnRpbmV6LWEtdW4tanVnYWRvci1mcmFuY2VzLWVuLWxhLWZpbmFsLWRlbC1tdW5kaWFsLXFhdGFyLTIwMjItZWwtZGVsLXBhc2l0by8_b3V0cHV0VHlwZT1hbXA?hl=en-US&gl=US&ceid=US%3Aen,02 de Enero del 2023 al 08 de Enero  del 2023
Igualdad,"GM May Produce EVs In Mexico To Compete With Tesla, Ford",Jan 3,1,https://news.google.com/articles/CBMiS2h0dHBzOi8vaW5zaWRlZXZzLmNvbS9uZXdzLzYyOTYxNy9nbS1mdXR1cmUtZWxlY3RyaWMtY2FyLXByb2R1Y3Rpb24tbWV4aWNvL9IBT2h0dHBzOi8vaW5zaWRlZXZzLmNvbS9uZXdzLzYyOTYxNy9nbS1mdXR1cmUtZWxlY3RyaWMtY2FyLXByb2R1Y3Rpb24tbWV4aWNvL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen,02 de Enero del 2023 al 08 de Enero  del 2023
Igualdad,Worldwide transmission and infection risk of mosquito vectors of ...,Jan 6,1,https://news.google.com/articles/CBMiMmh0dHBzOi8vd3d3Lm5hdHVyZS5jb20vYXJ0aWNsZXMvczQxNTk4LTAyMi0yNzIzNi0x0gEA?hl=en-US&gl=US&ceid=US%3Aen,02 de Enero del 2023 al 08 de Enero  del 2023
Igualdad,“Hay gritos y llantos en Culiacán”: ciudadanos narraron el terror que vivieron ante la detención de Ovidio Guzmán,Jan 5,1,https://news.google.com/articles/CBMioQFodHRwczovL3d3dy5pbmZvYmFlLmNvbS9hbWVyaWNhL21leGljby8yMDIzLzAxLzA1L2hheS1ncml0b3MteS1sbGFudG9zLWVuLWN1bGlhY2FuLWNpdWRhZGFub3MtbmFycmFyb24tZWwtdGVycm9yLXF1ZS12aXZpZXJvbi1hbnRlLWxhLWRldGVuY2lvbi1kZS1vdmlkaW8tZ3V6bWFuL9IBtQFodHRwczovL3d3dy5pbmZvYmFlLmNvbS9hbWVyaWNhL21leGljby8yMDIzLzAxLzA1L2hheS1ncml0b3MteS1sbGFudG9zLWVuLWN1bGlhY2FuLWNpdWRhZGFub3MtbmFycmFyb24tZWwtdGVycm9yLXF1ZS12aXZpZXJvbi1hbnRlLWxhLWRldGVuY2lvbi1kZS1vdmlkaW8tZ3V6bWFuLz9vdXRwdXRUeXBlPWFtcC10eXBl?hl=en-US&gl=US&ceid=US%3Aen,02 de Enero del 2023 al 08 de Enero  del 2023
Igualdad,"Así nació 'de improviso' la serie de 'The Last of Us': ""Cruzamos la calle y se la presentamos a HBO""",Jan 8,1,https://news.google.com/articles/CBMiaWh0dHBzOi8vd3d3LmVsZXNwYW5vbC5jb20vc2VyaWVzLzIwMjMwMTA4L2ltcHJvdmlzby10aGUtbGFzdC11cy1jcnV6YW1vcy1wcmVzZW50YW1vcy1oYm8vNzI3OTI3MjA0XzAuaHRtbNIBbWh0dHBzOi8vd3d3LmVsZXNwYW5vbC5jb20vc2VyaWVzLzIwMjMwMTA4L2ltcHJvdmlzby10aGUtbGFzdC11cy1jcnV6YW1vcy1wcmVzZW50YW1vcy1oYm8vNzI3OTI3MjA0XzAuYW1wLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen,02 de Enero del 2023 al 08 de Enero  del 2023
Igualdad,"Tendencias de viajes 2023: hoteles con mucho arte, menos aviones y más cinefilia",Jan 4,1,https://news.google.com/articles/CBMiOmh0dHBzOi8vd3d3LnRyYXZlbGVyLmVzL2FydGljdWxvcy90ZW5kZW5jaWFzLXZpYWplcmFzLTIwMjPSAT5odHRwczovL3d3dy50cmF2ZWxlci5lcy9hcnRpY3Vsb3MvdGVuZGVuY2lhcy12aWFqZXJhcy0yMDIzL2FtcA?hl=en-US&gl=US&ceid=US%3Aen,02 de Enero del 2023 al 08 de Enero  del 2023
Igualdad,"Aeroméxico, Volaris y Viva Aerobus cancelan vuelos a municipios de Sinaloa tras captura de Ovidio Guzmán",Jan 5,1,https://news.google.com/articles/CBMiYmh0dHBzOi8vd3d3Lm1pbGVuaW8uY29tL25lZ29jaW9zL2Flcm9tZXhpY28tY2FuY2VsYS12dWVsb3MtYS1zaW5hbG9hLXRyYXMtY2FwdHVyYS1kZS1vdmlkaW8tZ3V6bWFu0gFiaHR0cHM6Ly9hbXAubWlsZW5pby5jb20vbmVnb2Npb3MvYWVyb21leGljby1jYW5jZWxhLXZ1ZWxvcy1hLXNpbmFsb2EtdHJhcy1jYXB0dXJhLWRlLW92aWRpby1ndXptYW4?hl=en-US&gl=US&ceid=US%3Aen,02 de Enero del 2023 al 08 de Enero  del 2023
Igualdad,Norma Piña fue elegida nueva ministra presidenta de la Corte; es la primera mujer en ocupar el cargo,Jan 2,1,https://news.google.com/articles/CBMiVWh0dHBzOi8vd3d3Lm1pbGVuaW8uY29tL3BvbGljaWEvbm9ybWEtcGluYS1lcy1sYS1udWV2YS1wcmVzaWRlbnRlLWRlLWxhLXN1cHJlbWEtY29ydGXSAVVodHRwczovL2FtcC5taWxlbmlvLmNvbS9wb2xpY2lhL25vcm1hLXBpbmEtZXMtbGEtbnVldmEtcHJlc2lkZW50ZS1kZS1sYS1zdXByZW1hLWNvcnRl?hl=en-US&gl=US&ceid=US%3Aen,02 de Enero del 2023 al 08 de Enero  del 2023
Igualdad,“Hay gritos y llantos en Culiacán”: ciudadanos narraron el terror que vivieron ante la detención de Ovidio Guzmán,Jan 5,1,https://news.google.com/articles/CBMioQFodHRwczovL3d3dy5pbmZvYmFlLmNvbS9hbWVyaWNhL21leGljby8yMDIzLzAxLzA1L2hheS1ncml0b3MteS1sbGFudG9zLWVuLWN1bGlhY2FuLWNpdWRhZGFub3MtbmFycmFyb24tZWwtdGVycm9yLXF1ZS12aXZpZXJvbi1hbnRlLWxhLWRldGVuY2lvbi1kZS1vdmlkaW8tZ3V6bWFuL9IBtQFodHRwczovL3d3dy5pbmZvYmFlLmNvbS9hbWVyaWNhL21leGljby8yMDIzLzAxLzA1L2hheS1ncml0b3MteS1sbGFudG9zLWVuLWN1bGlhY2FuLWNpdWRhZGFub3MtbmFycmFyb24tZWwtdGVycm9yLXF1ZS12aXZpZXJvbi1hbnRlLWxhLWRldGVuY2lvbi1kZS1vdmlkaW8tZ3V6bWFuLz9vdXRwdXRUeXBlPWFtcC10eXBl?hl=en-US&gl=US&ceid=US%3Aen,02 de Enero del 2023 al 08 de Enero  del 2023
Igualdad,Rechaza AMLO tener injerencia en elección del nuevo presidente ...,Jan 2,1,https://news.google.com/articles/CBMiXmh0dHBzOi8vbG9wZXpkb3JpZ2EuY29tL25hY2lvbmFsL2FtbG8tcmVjaGF6YS1pbmplcmVuY2lhLWVsZWNjaW9uLW51ZXZvLXByZXNpZGVudGUtY29ydGUtc2Nqbi_SAQA?hl=en-US&gl=US&ceid=US%3Aen,02 de Enero del 2023 al 08 de Enero  del 2023
Igualdad,Cinco días de rave ilegal en Granada: sin precedentes ni previsión de desalojo,Jan 3,1,https://news.google.com/articles/CBMidmh0dHBzOi8vd3d3LmVsZGlhcmlvLmVzL2FuZGFsdWNpYS9ncmFuYWRhL2NpbmNvLWRpYXMtcmF2ZS1pbGVnYWwtZ3JhbmFkYS1wcmVjZWRlbnRlcy1wcmV2aXNpb24tZGVzYWxvam9fMV85ODM5ODk5Lmh0bWzSAXpodHRwczovL3d3dy5lbGRpYXJpby5lcy9hbmRhbHVjaWEvZ3JhbmFkYS9jaW5jby1kaWFzLXJhdmUtaWxlZ2FsLWdyYW5hZGEtcHJlY2VkZW50ZXMtcHJldmlzaW9uLWRlc2Fsb2pvXzFfOTgzOTg5OS5hbXAuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen,02 de Enero del 2023 al 08 de Enero  del 2023
Igualdad,"Muere de un infarto Bryan Ruiz , futbolista del Aragua FC",Jan 3,1,https://news.google.com/articles/CBMiS2h0dHBzOi8vYWxuYXZpby5lcy9tdWVyZS1kZS11bi1pbmZhcnRvLWJyeWFuLXJ1aXotZnV0Ym9saXN0YS1kZWwtYXJhZ3VhLWZjL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,02 de Enero del 2023 al 08 de Enero  del 2023
Igualdad,Can a West African cocoa cartel rise from the ashes?,Jan 6,1,https://news.google.com/articles/CBMiYmh0dHBzOi8vd3d3LnN3aXNzaW5mby5jaC9lbmcvc29jaWV0eS9jYW4tYS13ZXN0LWFmcmljYW4tY29jb2EtY2FydGVsLXJpc2UtZnJvbS10aGUtYXNoZXMtLzQ4MTMzNTEy0gEA?hl=en-US&gl=US&ceid=US%3Aen,02 de Enero del 2023 al 08 de Enero  del 2023
Igualdad,MMO Weekly Episode 30: Correa Watch Continues,Jan 5,1,https://news.google.com/articles/CBMiS2h0dHBzOi8vbWV0c21lcml6ZWRvbmxpbmUuY29tL21tby13ZWVrbHktZXBpc29kZS0zMC1jb3JyZWEtd2F0Y2gtY29udGludWVzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,02 de Enero del 2023 al 08 de Enero  del 2023
Igualdad,PV - Ciel & Terre completes its latest floating solar project in ...,Jan 3,1,https://news.google.com/articles/CBMiZmh0dHBzOi8vd3d3LnJlbmV3YWJsZWVuZXJneW1hZ2F6aW5lLmNvbS9wdl9zb2xhci9jaWVsLWFtcC10ZXJyZS1jb21wbGV0ZXMtaXRzLWxhdGVzdC1mbG9hdGluZy0yMDIzMDEwM9IBAA?hl=en-US&gl=US&ceid=US%3Aen,02 de Enero del 2023 al 08 de Enero  del 2023
Igualdad,Prince Harry accuses brother William of physical attack in new book ...,Jan 5,1,https://news.google.com/articles/CBMiNGh0dHBzOi8vZWZlLmNvbS9lbi9sYXRlc3QtbmV3cy8yMDIzLTAxLTA1L3VrLXJveWFscy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,02 de Enero del 2023 al 08 de Enero  del 2023
Igualdad,Contando la verdadera historia de violencia de los Texas Rangers,Jan 3,1,https://news.google.com/articles/CBMidGh0dHBzOi8vd3d3LnRlbGVtdW5kby5jb20vbm90aWNpYXMvbm90aWNpYXMtdGVsZW11bmRvL2hpc3Bhbm9zLWVuLWVlLXV1L3RleGFzLXJhbmdlcnMtdmlvbGVuY2lhLWZyb250ZXJpemEtcmNuYTY0MDUw0gEwaHR0cHM6Ly93d3cudGVsZW11bmRvLmNvbS9ub3RpY2lhcy9hbXAvcmNuYTY0MDUw?hl=en-US&gl=US&ceid=US%3Aen,02 de Enero del 2023 al 08 de Enero  del 2023
Igualdad,El lado oscuro del paraíso turístico de Costa Rica,Jan 7,1,https://news.google.com/articles/CBMiZGh0dHBzOi8vZWxwYWlzLmNvbS9wbGFuZXRhLWZ1dHVyby8yMDIzLTAxLTA4L2VsLWxhZG8tb3NjdXJvLWRlbC1wYXJhaXNvLXR1cmlzdGljby1kZS1jb3N0YS1yaWNhLmh0bWzSAXNodHRwczovL2VscGFpcy5jb20vcGxhbmV0YS1mdXR1cm8vMjAyMy0wMS0wOC9lbC1sYWRvLW9zY3Vyby1kZWwtcGFyYWlzby10dXJpc3RpY28tZGUtY29zdGEtcmljYS5odG1sP291dHB1dFR5cGU9YW1w?hl=en-US&gl=US&ceid=US%3Aen,02 de Enero del 2023 al 08 de Enero  del 2023
